City,Rank,State,Pop,Coordinates
Pharr,455,Texas,73790,26.1947962
Albuquerque,32,New Mexico,556495,35.0853336
Athens-Clarke County,222,Georgia,119980,33.9519347
South Jordan,602,Utah,59366,40.5621704
North Las Vegas,96,Nevada,226877,36.1988592
Pomona,162,California,151348,34.055103
Eastvale,660,California,55191,33.952463
Grove City,984,Ohio,37490,39.8814519
Lawrence,338,Kansas,90811,38.9716689
Midland,215,Texas,123933,31.9973456
Oklahoma City,27,Oklahoma,610613,35.4675602
Oro Valley,883,Arizona,41627,32.3909071
Mesa,38,Arizona,457587,33.4151843
Norwalk,354,Connecticut,87776,41.117744
Kentwood,737,Michigan,50233,42.8694731
Brookfield,971,Wisconsin,37999,43.0605671
Rockwall,895,Texas,40922,32.9312336
Mishawaka,778,Indiana,47989,41.6619927
Tustin,420,California,78327,33.7458511
St. Cloud,520,Minnesota,66297,45.5579451
Passaic,478,New Jersey,70868,40.8567662
Escondido,166,California,148738,33.1192068
San Bruno,868,California,42443,37.6304904
Berkeley,231,California,116768,37.8715926
San Clemente,537,California,65040,33.4269728
Lawton,304,Oklahoma,97151,34.6035669
Eau Claire,508,Wisconsin,67545,44.811349
Maricopa,817,Arizona,45508,33.0581063
DeSoto,718,Texas,51483,32.5896998
Fort Wayne,76,Indiana,256496,41.079273
Shoreline,668,Washington,54790,47.7556531
Medford,632,Massachusetts,57170,42.4184296
La Habra,569,California,61653,33.9319578
Albany,299,New York,98424,42.6525793
Daly City,273,California,104739,37.6879241
Taylor,566,Michigan,61817,42.240872
Coon Rapids,563,Minnesota,62103,45.1732394
San Mateo,286,California,101128,37.5629917
Orlando,77,Florida,255483,28.5383355
Casper,599,Wyoming,59628,42.866632
Bedford,771,Texas,48592,32.844017
Wilmington,240,North Carolina,112067,34.2257255
Pinellas Park,744,Florida,49998,27.8428025
North Miami Beach,850,Florida,43250,25.9331488
Kansas City,168,Kansas,148483,39.114053
Fitchburg,913,Massachusetts,40383,42.5834228
Wheeling,970,Illinois,38015,42.1391927
Newton,351,Massachusetts,87971,42.3370413
North Miami,580,Florida,61007,25.8900949
Norwich,917,Connecticut,40347,41.5242649
Newark,69,New Jersey,278427,40.735657
Alexandria,775,Louisiana,48426,31.3112936
Blaine,587,Minnesota,60407,45.1607987
Harlingen,527,Texas,65665,26.1906306
Lompoc,844,California,43509,34.6391501
Denton,217,Texas,123099,33.2148412
Galveston,765,Texas,48733,29.3013479
Greenwood,684,Indiana,53665,39.6136578
Salinas,157,California,155662,36.6777372
Miami Gardens,243,Florida,111378,25.9420377
Huntington,760,West Virginia,49177,38.4192496
Laredo,80,Texas,248142,27.5305671
Melbourne,428,Florida,77508,28.0836269
Haltom City,843,Texas,43580,32.7995738
Palm Bay,270,Florida,104898,28.0344621
Wilson,753,North Carolina,49628,35.7212689
Bountiful,856,Utah,43023,40.8893895
Ceres,797,California,46714,37.5949316
Parma,406,Ohio,80429,41.4047742
Rapid City,479,South Dakota,70812,44.0805434
Bell Gardens,862,California,42889,33.9652918
Commerce City,748,Colorado,49799,39.8083196
Springfield,158,Massachusetts,153703,42.1014831
Fort Collins,160,Colorado,152061,40.5852602
San Leandro,352,California,87965,37.7249296
Vista,306,California,96929,33.2000368
Yonkers,115,New York,199766,40.9312099
Cincinnati,65,Ohio,297517,39.1031182
Hagerstown,906,Maryland,40612,39.6417629
Sanford,650,Florida,56002,28.8028612
Union City,499,New Jersey,68247,40.6975898
Toledo,67,Ohio,282313,41.6639383
Sierra Vista,823,Arizona,45129,31.5455001
Newport News,130,Virginia,182020,37.0870821
Hammond,410,Indiana,78967,41.5833688
Buffalo Grove,875,Illinois,41778,42.1662831
Sugar Land,379,Texas,83860,29.6196787
Huntsville,126,Alabama,186254,34.7303688
Lodi,550,California,63338,38.1341477
Edmonds,902,Washington,40727,47.8106521
Duncanville,932,Texas,39605,32.6518004
Rocky Mount,634,North Carolina,56954,35.9382103
Pontiac,594,Michigan,59887,42.6389216
National City,595,California,59834,32.6781085
Hayward,161,California,151574,37.6688205
Niagara Falls,754,New York,49468,43.0962143
Sparks,321,Nevada,93282,39.5349112
Hanford,670,California,54686,36.3274502
Cypress,762,California,49087,33.8169599
Decatur,448,Illinois,74710,39.8403147
Woonsocket,890,Rhode Island,41026,42.0028761
Mobile,122,Alabama,194899,30.6953657
Vallejo,223,California,118837,38.1040864
Arcadia,626,California,57639,34.1397292
Collierville,790,Tennessee,47333,35.042036
Jefferson City,847,Missouri,43330,38.5767017
Longview,396,Texas,81443,32.5007037
Chandler,79,Arizona,249146,33.3061605
Arvada,241,Colorado,111707,39.8027644
Alhambra,372,California,84577,34.095287
Kokomo,635,Indiana,56895,40.486427
Oakland Park,849,Florida,43286,26.1723065
Indianapolis,12,Indiana,843393,39.768403
Boynton Beach,474,Florida,71097,26.5317866
Apache Junction,994,Arizona,37130,33.4150485
Mount Prospect,669,Illinois,54771,42.0664167
Cranston,405,Rhode Island,80566,41.7798226
Lafayette,481,Indiana,70373,40.4167022
Olathe,193,Kansas,131885,38.8813958
Johns Creek,389,Georgia,82788,34.0289259
Greensboro,68,North Carolina,279639,36.0726354
Kalamazoo,440,Michigan,75548,42.2917069
Tigard,734,Oregon,50444,45.4312294
Jacksonville,493,North Carolina,69079,34.7540524
Citrus Heights,369,California,85285,38.7071247
Tuscaloosa,313,Alabama,95334,33.2098407
Ankeny,715,Iowa,51567,41.7317884
Hawthorne,364,California,86199,33.9164032
Hoover,376,Alabama,84126,33.4053867
Youngstown,532,Ohio,65184,41.0997803
Madison,811,Alabama,45799,34.6992579
Redlands,486,California,69999,34.0555693
Cape Girardeau,953,Missouri,38816,37.3058839
Nampa,361,Idaho,86518,43.5407172
Washington,23,District of Columbia,646449,38.9071923
Wheaton,686,Illinois,53648,41.8661403
Lancaster,968,Texas,38071,32.5920798
Rialto,284,California,101910,34.1064001
Fargo,237,North Dakota,113658,46.8771863
Peoria,232,Illinois,116513,40.6936488
Omaha,42,Nebraska,434353,41.2523634
Rancho Santa Margarita,758,California,49228,33.640855
Manhattan,647,Kansas,56143,39.1836082
Palm Springs,804,California,46281,33.8302961
San Diego,8,California,1355896,32.715738
Santa Rosa,140,California,171990,38.440429
Lowell,257,Massachusetts,108861,42.6334247
Broken Arrow,278,Oklahoma,103500,36.060949
Kent,213,Washington,124435,47.3809335
Nashville,25,Tennessee,634464,36.1626638
Hackensack,834,New Jersey,44113,40.8859325
Broomfield,600,Colorado,59471,39.9205411
Durham,82,North Carolina,245475,35.9940329
Wichita,49,Kansas,386552,37.688889
Cathedral City,693,California,52977,33.7805388
Lakeville,616,Minnesota,58562,44.6496868
Elmhurst,816,Illinois,45556,41.8994744
Weslaco,996,Texas,37093,26.1595194
Greenfield,993,Wisconsin,37159,42.9614039
Sunnyvale,170,California,147559,37.36883
Santa Cruz,556,California,62864,36.9741171
Kenosha,294,Wisconsin,99889,42.5847425
State College,877,Pennsylvania,41757,40.7933949
Mansfield,799,Ohio,46454,40.75839
Quincy,899,Illinois,40915,39.9356016
Pompano Beach,276,Florida,104410,26.2378597
San Angelo,302,Texas,97492,31.4637723
Bloomington,412,Illinois,78902,40.4842027
Tracy,371,California,84691,37.7396513
Spartanburg,978,South Carolina,37647,34.9495672
Nashua,358,New Hampshire,87137,42.7653662
Macon,343,Georgia,89981,32.8406946
Hempstead,658,New York,55361,40.7062128
Camden,430,New Jersey,76903,39.9259463
Palm Desert,732,California,50508,33.7222445
Streamwood,916,Illinois,40351,42.0255827
Chesapeake,91,Virginia,230571,36.7682088
Dublin,842,Ohio,43607,40.0992294
Camarillo,523,California,66086,34.2163937
Muskegon,990,Michigan,37213,43.2341813
Elizabeth,203,New Jersey,127558,40.6639916
Anchorage,63,Alaska,300950,61.2180556
Minot,803,North Dakota,46321,48.2329668
Davie,307,Florida,96830,26.0764783
McAllen,188,Texas,136639,26.2034071
McKinney,167,Texas,148559,33.1972465
Killeen,185,Texas,137147,31.1171194
Findlay,884,Ohio,41512,41.04422
Oakland,45,California,406253,37.8043637
Mountain View,424,California,77846,37.3860517
Lake Elsinore,628,California,57525,33.6680772
Amarillo,120,Texas,196429,35.2219971
Provo,233,Utah,116288,40.2338438
Atlanta,40,Georgia,447841,33.7489954
Monterey Park,577,California,61085,34.0625106
Strongsville,826,Ohio,44730,41.3144966
Madera,554,California,63105,36.9613356
Rancho Palos Verdes,867,California,42448,33.7444613
Burnsville,572,Minnesota,61434,44.7677424
Rowlett,623,Texas,58043,32.9029017
Roswell,769,New Mexico,48611,33.3942655
Montgomery,111,Alabama,201332,32.3668052
Logan,764,Utah,48913,41.7369803
Woburn,949,Massachusetts,39083,42.4792618
Allentown,224,Pennsylvania,118577,40.6084305
Mount Pleasant,446,South Carolina,74885,32.8323225
Columbus,110,Georgia,202824,32.4609764
Buffalo,73,New York,258959,42.8864468
New Berlin,926,Wisconsin,39834,42.9764027
North Richland Hills,509,Texas,67317,32.8342952
Lima,963,Ohio,38355,40.742551
Sacramento,35,California,479686,38.5815719
Fort Smith,355,Arkansas,87650,35.3859242
East Providence,793,Rhode Island,47149,41.8137116
Urbandale,876,Iowa,41776,41.6266555
Mount Vernon,500,New York,68224,40.9125992
Lakewood,173,Colorado,147214,39.7047095
Henderson,71,Nevada,270811,36.0395247
Covina,774,California,48508,34.0900091
Stamford,209,Connecticut,126456,41.0534302
Bloomington,392,Indiana,82575,39.165325
Kingsport,694,Tennessee,52962,36.548434
Spokane,102,Washington,210721,47.6587802
Kennewick,432,Washington,76762,46.2112458
Philadelphia,5,Pennsylvania,1553165,39.9525839
Bellingham,390,Washington,82631,48.74908
Visalia,201,California,127763,36.3302284
La Crosse,716,Wisconsin,51522,43.8013556
Council Bluffs,565,Iowa,61969,41.2619444
North Lauderdale,864,Florida,42757,26.217305
Dallas,9,Texas,1257676,32.7766642
Antioch,265,California,107100,38.0049214
Sterling Heights,194,Michigan,131224,42.5803122
Deerfield Beach,422,Florida,78041,26.3184123
Fishers,378,Indiana,83891,39.9567548
Cheyenne,558,Wyoming,62448,41.1399814
Murrieta,263,California,107479,33.5539143
Lenexa,735,Kansas,50344,38.9536174
Newport Beach,356,California,87273,33.6189101
Riverton,897,Utah,40921,40.521893
Yakima,322,Washington,93257,46.6020711
Dayton,179,Ohio,143355,39.7589478
Gulfport,476,Mississippi,71012,30.3674198
Long Beach,36,California,469428,33.7700504
Chico,350,California,88077,39.7284944
Hattiesburg,785,Mississippi,47556,31.3271189
Eugene,155,Oregon,159190,44.0520691
Colton,690,California,53243,34.0739016
Montebello,549,California,63495,34.0165053
Pleasanton,450,California,74110,37.6624312
Everett,269,Washington,105370,47.9789848
Hutchinson,874,Kansas,41889,38.0608445
Fairfield,255,California,109320,38.2493581
Avondale,413,Arizona,78822,33.4355977
Euclid,777,Ohio,48139,41.5931049
Battle Creek,710,Michigan,51848,42.3211522
Bloomington,362,Minnesota,86319,44.840798
Rock Island,951,Illinois,38877,41.5094771
Beaverton,319,Oregon,93542,45.487062
Kenner,512,Louisiana,66975,29.9940924
Clovis,934,New Mexico,39508,34.4047987
Troy,745,New York,49974,42.7284117
Milpitas,489,California,69783,37.4323341
Des Plaines,611,Illinois,58918,42.0333623
Placentia,704,California,52206,33.8722371
Taunton,649,Massachusetts,56069,41.900101
Montclair,969,California,38027,34.0775104
Johnson City,535,Tennessee,65123,36.3134397
Savannah,180,Georgia,142772,32.0835407
Warren,901,Ohio,40768,41.2375569
Vancouver,145,Washington,167405,45.6387281
Sunrise,342,Florida,90116,26.1669711
Muncie,483,Indiana,70316,40.1933767
Lehi,673,Utah,54382,40.3916172
San Francisco,14,California,837442,37.7749295
Fontana,109,California,203003,34.0922335
Frisco,186,Texas,136791,33.1506744
Chino Hills,434,California,76572,33.9898188
Poway,755,California,49417,32.9628232
Huber Heights,967,Ohio,38142,39.843947
New Brunswick,652,New Jersey,55831,40.4862157
Norfolk,81,Virginia,246139,36.8507689
Hillsboro,303,Oregon,97368,45.5228939
San Jacinto,810,California,45851,33.7839084
Pensacola,696,Florida,52703,30.421309
Hamilton,561,Ohio,62258,39.3995008
Florence,973,South Carolina,37792,34.1954331
San Bernardino,100,California,213708,34.1083449
Peachtree Corners,923,Georgia,40059,33.9698929
Victorville,218,California,121096,34.5362184
Gary,417,Indiana,78450,41.5933696
Casa Grande,743,Arizona,50111,32.8795022
Morgan Hill,900,California,40836,37.1305012
Dubuque,621,Iowa,58253,42.5005583
Syracuse,177,New York,144669,43.0481221
Clarksville,181,Tennessee,142357,36.5297706
Lakeland,289,Florida,100710,28.0394654
Valley Stream,977,New York,37659,40.6642699
Dover,987,Delaware,37366,39.158168
Moorhead,939,Minnesota,39398,46.8737648
Culver City,936,California,39428,34.0211224
Palatine,490,Illinois,69350,42.1103041
Seattle,21,Washington,652405,47.6062095
Covington,894,Kentucky,40956,39.0836712
Elk Grove,151,California,161007,38.4087993
Shreveport,113,Louisiana,200327,32.5251516
Ogden,375,Utah,84249,41.223
Harrisonburg,719,Virginia,51395,38.4495688
Inglewood,242,California,111542,33.9616801
Pasadena,183,California,139731,34.1477849
Lawrence,426,Massachusetts,77657,42.7070354
Lake Oswego,979,Oregon,37610,45.4206749
Petaluma,601,California,59440,38.232417
Springfield,603,Ohio,59357,39.9242266
Folsom,458,California,73098,38.6779591
Prescott Valley,929,Arizona,39791,34.6100243
Las Cruces,285,New Mexico,101324,32.3199396
Bozeman,925,Montana,39860,45.6769979
Schaumburg,445,Illinois,74907,42.0333607
Warren,189,Michigan,134873,42.5144566
St. Peters,667,Missouri,54842,38.7874699
Ames,568,Iowa,61792,42.034722
Surprise,216,Arizona,123546,33.6292337
Richardson,275,Texas,104475,32.9483335
Midland,872,Michigan,42181,43.6155825
San Marcos,679,Texas,54076,29.8832749
Wilkes-Barre,889,Pennsylvania,41108,41.2459149
Appleton,456,Wisconsin,73596,44.2619309
Shawnee,541,Kansas,64323,39.0228485
Mentor,796,Ohio,46979,41.6661573
Livermore,370,California,85156,37.6818745
Charlotte,16,North Carolina,792862,35.2270869
Owensboro,617,Kentucky,58416,37.7719074
Jupiter,619,Florida,58298,26.9342246
Rohnert Park,885,California,41398,38.3396367
Chicago,3,Illinois,2718782,41.8781136
Billings,256,Montana,109059,45.7832856
Wauwatosa,795,Wisconsin,47134,43.0494572
Lombard,838,Illinois,43907,41.8800296
New Haven,195,Connecticut,130660,41.308274
York,837,Pennsylvania,43935,39.9625984
Knoxville,128,Tennessee,183270,35.9606384
Elyria,681,Ohio,53956,41.3683798
Barnstable Town,827,Massachusetts,44641,41.7003208
Murray,768,Utah,48612,40.6668916
Alameda,435,California,76419,37.7652065
Manteca,467,California,71948,37.7974273
Maplewood,930,Minnesota,39765,44.9530215
Medford,425,Oregon,77677,42.3265152
Murfreesboro,228,Tennessee,117044,35.8456213
Yuba City,530,California,65416,39.1404477
Shelton,892,Connecticut,40999,41.3164856
Cedar Falls,909,Iowa,40566,42.5348993
Germantown,942,Tennessee,39375,35.0867577
Scranton,438,Pennsylvania,75806,41.408969
Auburn,615,Alabama,58582,32.6098566
Manassas,880,Virginia,41705,38.7509488
Vacaville,316,California,94275,38.3565773
Santa Monica,326,California,92472,34.0194543
Suffolk,367,Virginia,85728,36.7282054
Rochester Hills,460,Michigan,72952,42.6583661
La Quinta,943,California,39331,33.6633573
Charleston,725,West Virginia,50821,38.3498195
Delano,701,California,52403,35.7688425
St. Cloud,898,Florida,40918,28.2489016
Charleston,200,South Carolina,127999,32.7764749
Kannapolis,830,North Carolina,44359,35.4873613
Corona,154,California,159503,33.8752935
Rocklin,597,California,59738,38.7907339
Lee's Summit,323,Missouri,93184,38.9108408
Palm Coast,415,Florida,78740,29.5844524
Sandy,341,Utah,90231,40.5649781
Bentonville,921,Arkansas,40167,36.3728538
Santa Clarita,133,California,179590,34.3916641
Altamonte Springs,873,Florida,42150,28.6611089
New Braunfels,551,Texas,63279,29.7030024
Memphis,20,Tennessee,653450,35.1495343
Irving,94,Texas,228653,32.8140177
Alexandria,165,Virginia,148892,38.8048355
Hesperia,327,California,92147,34.4263886
Holyoke,920,Massachusetts,40249,42.2042586
Dunwoody,784,Georgia,47591,33.9462125
Skokie,533,Illinois,65176,42.0324025
Kearny,882,New Jersey,41664,40.7684342
Bethlehem,444,Pennsylvania,75018,40.6259316
Napa,409,California,79068,38.2975381
Aurora,55,Colorado,345803,39.7294319
Duluth,365,Minnesota,86128,46.7866719
Roanoke,298,Virginia,98465,37.2709704
Bend,398,Oregon,81236,44.0581728
Apple Valley,477,California,70924,34.5008311
Waltham,562,Massachusetts,62227,42.3764852
Fort Myers,501,Florida,68190,26.640628
Tampa,53,Florida,352957,27.950575
Upland,442,California,75413,34.09751
Danville,859,Virginia,42907,36.5859718
Beloit,999,Wisconsin,36888,42.5083482
Plantation,340,Florida,90268,26.1275862
Colorado Springs,41,Colorado,439886,38.8338816
Modesto,105,California,204933,37.6390972
Grand Rapids,123,Michigan,192294,42.9633599
Oak Park,707,Illinois,52066,41.8850317
Sarasota,688,Florida,53326,27.3364347
Jurupa Valley,300,California,98030,33.9971974
Bellflower,427,California,77593,33.8816818
Boulder,279,Colorado,103166,40.0149856
Santa Fe,487,New Mexico,69976,35.6869752
Coachella,853,California,43092,33.6803003
Marlborough,937,Massachusetts,39414,42.3459271
Riverside,59,California,316619,33.9533487
Palmdale,156,California,157161,34.5794343
Novato,676,California,54194,38.1074198
Layton,480,Utah,70790,41.0602216
Bolingbrook,454,Illinois,73936,41.6986416
Mission Viejo,309,California,96346,33.6000232
Glenview,819,Illinois,45417,42.0697509
Lincoln,822,California,45237,38.891565
Goose Creek,927,South Carolina,39823,32.9810059
Little Rock,118,Arkansas,197357,34.7464809
Santa Ana,57,California,334227,33.7455731
White Plains,625,New York,57866,41.0339862
Idaho Falls,620,Idaho,58292,43.4916514
Bellevue,190,Washington,133992,47.610377
Roseville,206,California,127035,38.7521235
Perth Amboy,709,New Jersey,51982,40.5067723
Peabody,708,Massachusetts,52044,42.5278731
Grand Island,731,Nebraska,50550,40.9263957
Columbia,235,Missouri,115276,38.9517053
Racine,421,Wisconsin,78199,42.7261309
Carmel,366,Indiana,85927,39.978371
Portage,788,Michigan,47523,42.2011538
Middletown,767,Ohio,48630,39.5150576
Woodland,643,California,56590,38.6785157
Revere,682,Massachusetts,53756,42.4084302
Euless,691,Texas,53224,32.8370727
Arlington Heights,437,Illinois,75994,42.0883603
Hemet,395,California,81750,33.7475203
High Point,260,North Carolina,107741,35.9556923
Newark,781,Ohio,47777,40.0581205
Midwest City,639,Oklahoma,56756,35.4495065
San Marcos,346,California,89387,33.1433723
Port Orange,631,Florida,57203,29.1383165
Lakewood,399,California,81121,33.8536269
Westerville,981,Ohio,37530,40.1261743
Rockford,164,Illinois,150251,42.2711311
El Cajon,282,California,102211,32.7947731
St. Petersburg,78,Florida,249688,27.773056
Downers Grove,751,Illinois,49670,41.8089191
Milford,713,Connecticut,51644,41.2306979
Albany,714,Oregon,51583,44.6365107
Las Vegas,30,Nevada,603488,36.1699412
Pasadena,159,Texas,152735,29.6910625
Port St. Lucie,142,Florida,171016,27.2730492
Cedar Rapids,199,Iowa,128429,41.9778795
Ormond Beach,956,Florida,38661,29.2858129
Quincy,320,Massachusetts,93494,42.2528772
Miramar,196,Florida,130288,25.9860762
El Paso,19,Texas,674433,31.7775757
Topeka,202,Kansas,127679,39.0558235
Rosemead,672,California,54561,34.0805651
Keizer,997,Oregon,37064,44.9901194
Minnetonka,720,Minnesota,51368,44.9211836
Akron,116,Ohio,198100,41.0814447
Edinburg,404,Texas,80836,26.3017374
Rancho Cucamonga,141,California,171386,34.1063989
North Charleston,277,South Carolina,104054,32.8546197
Louisville,28,Kentucky,609893,38.2526647
Watsonville,699,California,52477,36.910231
Coconut Creek,636,Florida,56792,26.2517482
Bradenton,711,Florida,51763,27.4989278
Carlsbad,244,California,110972,33.1580933
Texas City,806,Texas,46081,29.383845
Redding,334,California,91119,40.5865396
Wyoming,451,Michigan,74100,42.9133602
Lorain,548,Ohio,63710,41.452819
Roy,974,Utah,37733,41.1616108
Fort Lauderdale,139,Florida,172389,26.1224386
Warner Robins,464,Georgia,72531,32.6130007
Clearwater,252,Florida,109703,27.9658533
Cutler Bay,848,Florida,43328,25.5808323
Florence,922,Alabama,40059,34.79981
Terre Haute,579,Indiana,61025,39.4667034
Temple,484,Texas,70190,31.0982344
Beavercreek,814,Ohio,45712,39.7092262
Sioux Falls,147,South Dakota,164676,43.5445959
Columbus,813,Indiana,45775,39.2014404
Margate,656,Florida,55456,26.2445263
Leominster,891,Massachusetts,41002,42.5250906
Warwick,394,Rhode Island,81971,41.7001009
Bakersfield,52,California,363630,35.3732921
Miami,44,Florida,417650,25.7616798
Lake Charles,452,Louisiana,74024,30.2265949
Richland,700,Washington,52413,46.2856907
Hickory,915,North Carolina,40361,35.7344538
Delray Beach,543,Florida,64072,26.4614625
Wellington,588,Florida,60202,26.6617635
Bullhead City,941,Arizona,39383,35.1359386
Weston,497,Florida,68388,26.1003654
Troy,387,Michigan,82821,42.6064095
New Rochelle,407,New York,79446,40.9114882
Stockton,64,California,298118,37.9577016
Royal Oak,610,Michigan,58946,42.4894801
Titusville,833,Florida,44206,28.6122187
Laguna Niguel,539,California,64652,33.5225261
Spokane Valley,335,Washington,91113,47.6732281
Costa Mesa,239,California,112174,33.6411316
Grand Prairie,127,Texas,183372,32.7459645
Portsmouth,310,Virginia,96205,36.8354258
